`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`A Day in the Life`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon and McCartney`,`Lennon and McCartney`,`63`,``,`0.4623450607`,`79.619`,`0.0637060347`,`e`,`335.41079`,`0.9434974781`,`minor`,`4`,`-14.373`,`0.3609916023`,`7.58`,`10.9`,`2.84`,`0.47`,`6.16`,`10.43`,`6.64`
`Sgt. Pepper's Lonely Hearts Club Band (Reprise)`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney, Lennon and Harrison`,``,``,`0.970857042`,`118.764`,`0.0369067825`,`c`,`82.33751`,`0.1094124285`,`major`,`4`,`-5.151`,`0.5472125619`,`5.06`,`13.92`,`5.06`,`15.19`,`3.8`,`2.53`,`30.38`
`Don't Let Me Down`,`1969`,`Past Masters Volume 2`,`Lennon`,`Lennon`,``,`35`,`0.0901884782`,`76.206`,`0.0297241162`,`e`,`213.73342`,`0.1093953097`,`major`,`1`,`-21.28`,`0.5983085033`,`18.42`,`8.55`,`5.92`,`0`,`5.26`,`2.63`,`1.32`
`You've Got to Hide Your Love Away`,`1965`,`Help!`,`Lennon`,`Lennon`,``,``,`0.4038384755`,`92.23`,`0.0256077379`,`g`,`129.12472`,`0.0934489737`,`major`,`3`,`-9.608`,`0.5642261334`,`9.73`,`21.24`,`6.19`,`0`,`7.96`,`2.65`,`2.65`
`Yesterday`,`1965`,`Help!`,`McCartney`,`McCartney`,`8`,`1`,`0.1763841493`,`95.134`,`0.0286635142`,`f`,`125.68816`,`0.0920515894`,`major`,`4`,`-12.485`,`0.3659301173`,`11.9`,`8.33`,`3.57`,`2.38`,`7.14`,`3.57`,`19.05`
`Don't Pass Me By`,`1968`,`The Beatles`,`Starkey`,`Starkey`,``,``,`0.5409527146`,`85.103`,`0.0258826143`,`c`,`230.4566`,`0.149732558`,`major`,`4`,`-10.075`,`0.6012994071`,`15.12`,`15.12`,`2.91`,`4.07`,`9.3`,`3.49`,`6.4`
`I'll Be Back`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,``,``,`0.3287630781`,`124.049`,`0.0408344097`,`a`,`140.45995`,`0.1090228776`,`major`,`4`,`-14.865`,`0.7000998703`,`14.55`,`11.52`,`2.42`,`1.21`,`15.76`,`1.82`,`3.64`
`Drive My Car`,`1965`,`Rubber Soul`,`McCartney, with Lennon`,`McCartney`,``,``,`0.5914481027`,`122.458`,`0.0393881836`,`d`,`147.90966`,`0.3074554302`,`major`,`4`,`-8.937`,`0.7565176984`,`12.44`,`20.74`,`2.76`,`0`,`3.69`,`5.53`,`3.69`
`Lucy in the Sky with Diamonds`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`0.2596226589`,`96.215`,`0.0284694339`,`d`,`205.50485`,`0.1155231468`,`major`,`4`,`-15.441`,`0.3354312839`,`0`,`12.05`,`0.6`,`0`,`1.81`,`13.25`,`19.88`
`Please Mister Postman`,`1963`,`With the Beatles`,`Dobbins, Garrett, Holland, Bateman, Gorman`,`Lennon`,``,``,`0.662047796`,`122.504`,`0.0345401623`,`a`,`154.17905`,`0.3708739363`,`major`,`4`,`-9.636`,`0.5435680986`,`7.74`,`7.74`,`1.19`,`0.6`,`13.69`,`11.31`,`9.52`
`Get Back`,`1969`,`Let It Be`,`McCartney`,`McCartney`,`1`,`1`,`0.5305936241`,`122.918`,`0.0412038591`,`d`,`191.16363`,`0.0997059204`,`major`,`1`,`-10.6`,`0.7200850597`,`0.93`,`14.88`,`1.4`,`0.47`,`5.12`,`3.72`,`12.56`
`Rain`,`1966`,`Past Masters Volume 2`,`Lennon`,`Lennon`,`1`,`23`,`0.5093196935`,`108.466`,`0.0401742104`,`c`,`176.5873`,`0.5578147959`,`major`,`4`,`-13.559`,`0.2387548658`,`5.1`,`10.19`,`0`,`0`,`4.46`,`11.46`,`2.55`
`With a Little Help from My Friends`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon and McCartney`,`Starkey`,`63`,`71`,`0.4967523738`,`112.024`,`0.0326685428`,`c#`,`164.11719`,`0.3677342018`,`minor`,`4`,`-9.617`,`0.7059030744`,`13.45`,`18.07`,`2.94`,`1.26`,`10.5`,`6.72`,`9.24`
`Mean Mr. Mustard`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,``,``,`0.5647791948`,`100.494`,`0.0273808819`,`e`,`66.54694`,`0.4008650163`,`major`,`4`,`-9.654`,`0.6773263287`,`0`,`12.22`,`0`,`0`,`2.22`,`12.22`,`5.56`
`Paperback Writer`,`1966`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`1`,`0.457107111`,`157.292`,`0.0907051848`,`g`,`137.01179`,`0.1845746858`,`major`,`4`,`-19.195`,`0.4917521906`,`5.49`,`9.34`,`1.1`,`0`,`8.24`,`10.44`,`13.19`
