`tempo`,`positive_emotions`,`negative_emotions`
`65.620`,`3.28`,`2.46`
`66.443`,`0.00`,`3.42`
`67.399`,`3.20`,`0.00`
`69.085`,`12.80`,`0.00`
`69.845`,`3.31`,`0.41`
`70.188`,`0.75`,`1.50`
`70.216`,`7.59`,`0.63`
`71.618`,`1.43`,`3.57`
`72.271`,`15.38`,`0.00`
`72.413`,`1.59`,`0.79`
`73.636`,`5.88`,`2.94`
`73.913`,`27.03`,`0.00`
`74.996`,`4.55`,`0.00`
`75.442`,`11.76`,`3.36`
`75.587`,`13.79`,`0.86`
`75.693`,`1.05`,`4.21`
`75.817`,`1.14`,`0.00`
`76.089`,`3.05`,`1.22`
`76.331`,`5.92`,`0.00`
`76.561`,`0.00`,`3.38`
`76.728`,`4.50`,`12.61`
`77.581`,`12.94`,`2.35`
`78.723`,`1.10`,`0.00`
`78.791`,`1.52`,`0.00`
`79.725`,`1.68`,`0.84`
`79.946`,`2.84`,`0.47`
`80.056`,`1.76`,`0.00`
`80.061`,`6.90`,`1.72`
`80.883`,`0.80`,`0.80`
`81.044`,`4.71`,`3.53`
`81.328`,`4.23`,`4.23`
`82.125`,`2.05`,`0.00`
`82.194`,`3.87`,`2.21`
`82.725`,`1.25`,`0.00`
`82.794`,`9.20`,`0.00`
`82.840`,`1.38`,`1.38`
`82.930`,`NULL`,`NULL`
`83.306`,`2.63`,`1.32`
`83.540`,`1.28`,`0.00`
`84.040`,`0.00`,`0.00`
`84.646`,`1.75`,`1.75`
`84.805`,`0.00`,`0.00`
`85.025`,`5.03`,`2.01`
`85.096`,`2.91`,`4.07`
`85.312`,`0.77`,`2.69`
`85.825`,`0.00`,`7.00`
`85.861`,`1.23`,`1.23`
`85.972`,`1.62`,`0.00`
`86.203`,`9.03`,`0.00`
`87.135`,`3.05`,`3.05`
`87.725`,`5.48`,`0.68`
`87.949`,`5.16`,`0.00`
`88.386`,`3.00`,`0.86`
`88.457`,`7.25`,`1.45`
`88.691`,`1.45`,`0.97`
`88.853`,`2.25`,`2.81`
`88.872`,`2.56`,`0.85`
`89.295`,`11.35`,`3.55`
`89.921`,`11.11`,`0.00`
`90.146`,`3.72`,`7.98`
`90.162`,`2.91`,`2.91`
`90.310`,`6.51`,`0.00`
`90.915`,`1.66`,`1.10`
`91.081`,`0.00`,`1.06`
`92.192`,`6.19`,`0.00`
`92.341`,`5.03`,`1.12`
`92.778`,`3.60`,`1.80`
`92.913`,`NULL`,`NULL`
`93.708`,`0.81`,`0.00`
`94.190`,`0.00`,`0.00`
`94.446`,`5.22`,`0.00`
`94.895`,`3.96`,`2.97`
`94.947`,`5.36`,`4.17`
`95.004`,`1.30`,`0.43`
`95.265`,`6.34`,`3.90`
`95.663`,`3.57`,`2.38`
`95.779`,`0.60`,`0.00`
`96.084`,`3.30`,`0.00`
`96.510`,`1.48`,`1.97`
`96.770`,`7.85`,`0.00`
`96.840`,`1.37`,`5.48`
`97.037`,`0.92`,`2.30`
`97.564`,`0.52`,`2.06`
`98.631`,`0.00`,`1.04`
`98.942`,`1.94`,`0.97`
`99.182`,`4.97`,`0.00`
`99.570`,`0.00`,`0.44`
`99.896`,`6.95`,`1.07`
`100.441`,`0.00`,`0.00`
`100.843`,`5.88`,`0.00`
`101.249`,`4.31`,`3.45`
`101.621`,`2.69`,`0.00`
`102.982`,`6.25`,`0.89`
`103.115`,`2.13`,`0.00`
`103.198`,`0.85`,`2.56`
`103.280`,`0.00`,`1.57`
`103.430`,`17.14`,`0.00`
`104.071`,`3.66`,`0.52`
`104.517`,`0.57`,`9.20`
`105.757`,`6.17`,`3.70`
`106.221`,`0.84`,`2.09`
`107.001`,`2.25`,`2.81`
`108.173`,`10.85`,`3.88`
`108.354`,`0.00`,`0.00`
`109.100`,`1.61`,`0.00`
`109.247`,`0.56`,`1.13`
`110.836`,`1.36`,`0.00`
`111.033`,`5.22`,`3.48`
`112.025`,`2.94`,`1.26`
`112.212`,`2.00`,`0.67`
`113.018`,`1.71`,`0.85`
`113.077`,`1.21`,`3.03`
`113.117`,`2.40`,`0.00`
`113.139`,`8.66`,`1.57`
`113.290`,`13.59`,`0.00`
`113.579`,`3.33`,`0.00`
`114.768`,`0.71`,`5.67`
`115.043`,`9.16`,`5.34`
`115.771`,`0.00`,`11.11`
`115.890`,`0.00`,`3.86`
`117.165`,`3.73`,`0.00`
`117.218`,`18.97`,`0.86`
`117.393`,`10.65`,`0.00`
`117.612`,`0.00`,`0.00`
`118.583`,`0.00`,`0.00`
`118.752`,`5.06`,`15.19`
`119.058`,`1.95`,`0.00`
`120.470`,`0.00`,`0.00`
`120.674`,`0.00`,`0.95`
`120.760`,`2.33`,`0.58`
`120.973`,`6.70`,`0.52`
`121.421`,`0.00`,`1.50`
`121.740`,`6.44`,`0.99`
`122.014`,`8.12`,`1.88`
`122.448`,`2.76`,`0.00`
`123.113`,`1.40`,`0.47`
`123.136`,`5.03`,`0.63`
`123.477`,`4.41`,`1.47`
`123.622`,`7.14`,`0.00`
`123.717`,`4.44`,`1.11`
`124.034`,`2.42`,`1.21`
`124.166`,`1.18`,`1.78`
`124.296`,`3.60`,`0.00`
`124.848`,`1.69`,`6.78`
`125.518`,`1.14`,`0.00`
`125.879`,`0.00`,`3.49`
`126.174`,`4.79`,`0.60`
`127.017`,`0.00`,`0.73`
`127.164`,`3.18`,`5.45`
`127.426`,`2.03`,`0.00`
`127.557`,`2.23`,`2.68`
`128.534`,`14.88`,`0.00`
`129.140`,`4.83`,`0.69`
`129.297`,`1.81`,`1.20`
`129.334`,`3.12`,`2.08`
`130.447`,`0.99`,`1.48`
`130.697`,`8.51`,`0.00`
`130.917`,`2.21`,`0.00`
`131.956`,`1.28`,`8.63`
`132.085`,`5.68`,`0.00`
`132.574`,`0.94`,`0.00`
`133.385`,`0.78`,`10.16`
`133.739`,`2.94`,`2.94`
`133.937`,`1.57`,`1.57`
`134.035`,`0.74`,`0.00`
`134.427`,`13.84`,`0.00`
`134.516`,`5.11`,`2.84`
`135.213`,`2.54`,`0.00`
`135.638`,`2.07`,`1.55`
`136.162`,`5.82`,`0.00`
`136.396`,`0.85`,`2.56`
`136.590`,`1.08`,`0.00`
`136.957`,`0.48`,`1.43`
`137.043`,`6.12`,`0.51`
`137.717`,`5.26`,`1.75`
`138.140`,`0.56`,`5.08`
`138.508`,`1.00`,`1.00`
`139.162`,`13.33`,`0.00`
`139.308`,`1.65`,`0.83`
`140.380`,`1.03`,`0.51`
`140.962`,`0.96`,`5.77`
`141.371`,`1.29`,`2.58`
`142.499`,`3.26`,`0.54`
`142.838`,`7.32`,`2.03`
