`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`echo_id`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`,`word_count`,`unique_word_count`,`longest_word`
`A Day in the Life`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon and McCartney`,`Lennon and McCartney`,`63`,``,`TRQIWBC13E35ADDC68`,`0.4429624264847937`,`79.946`,`0.06787733624949194`,`e`,`337.3971`,`0.9027635813970613`,`minor`,`4`,`-14.754`,`0.36006871792768785`,`7.58`,`10.9`,`2.84`,`0.47`,`6.16`,`10.43`,`6.64`,`199`,`118`,`downstairs`
`A Hard Day's Night`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon and McCartney`,`1`,`1`,`TRJGMEA13E355D1955`,`0.8429308827636494`,`138.508`,`0.03957764490152532`,`g`,`154.17424`,`0.10310184530412887`,`major`,`4`,`-7.207`,`0.5885207880131782`,`12.94`,`11.44`,`1`,`1`,`11.44`,`4.98`,`7.46`,`193`,`62`,`everything`
`Across the Universe`,`1968`,`Let It Be`,`Lennon`,`Lennon`,``,``,`TRVYGAK13E35857F0B`,`0.40088613270613765`,`76.089`,`0.025684491869399417`,`c#`,`228.12689`,`0.08213476121788683`,`major`,`4`,`-12.538`,`0.39928713647651787`,`8.54`,`4.88`,`3.05`,`1.22`,`1.83`,`6.1`,`18.9`,`159`,`82`,`possessing`
`All I've Got to Do`,`1963`,`With the Beatles`,`Lennon`,`Lennon`,``,``,`TRJOTXW13E35B8A08E`,`0.5631776593204799`,`119.058`,`0.034566140478852814`,`c#`,`122.56608`,`0.07307544311698537`,`minor`,`4`,`-10.931`,`0.49717228485045273`,`14.94`,`18.83`,`1.95`,`0`,`3.25`,`3.25`,`5.84`,`154`,`42`,`whenever`
`All My Loving`,`1963`,`With the Beatles`,`McCartney`,`McCartney`,``,`45`,`TRLDDPL13E35B8D3DE`,`0.5629672268773992`,`77.581`,`0.02859233973452302`,`c#`,`127.84281`,`0.3586944734392153`,`minor`,`4`,`-9.359`,`0.42247568393442775`,`22.35`,`7.06`,`12.94`,`2.35`,`2.35`,`1.18`,`7.06`,`85`,`40`,`tomorrow`
`All Together Now`,`1967`,`Yellow Submarine`,`McCartney`,`McCartney, with Lennon`,``,``,`TRKBZNS13E35BB3005`,`0.44502705292655437`,`96.084`,`0.06148015566831433`,`d`,`130.87302`,`0.5818541232054114`,`major`,`4`,`-10.23`,`0.5889558076298661`,`12.09`,`5.49`,`3.3`,`0`,`0`,`8.79`,`3.3`,`88`,`53`,`together`
`All You Need Is Love`,`1967`,`Magical Mystery Tour`,`Lennon`,`Lennon`,`1`,`1`,`TRPCGOL13E358B20BA`,`0.47205523363129914`,`103.43`,`0.028722205203955797`,`g`,`230.37342`,`0.15436833462842006`,`major`,`4`,`-8.498`,`0.40267972407218205`,`0`,`17.62`,`17.14`,`0`,`13.33`,`0.48`,`5.24`,`208`,`49`,`everybody`
`And I Love Her`,`1964`,`A Hard Day's Night`,`McCartney`,`McCartney`,``,`12`,`TRVBGVI13E35798E5A`,`0.3332994582499727`,`113.29`,`0.03502400150108431`,`a`,`149.68118`,`0.06139648020788029`,`major`,`4`,`-11.746`,`0.7674079649789792`,`17.48`,`14.56`,`13.59`,`0`,`4.85`,`5.83`,`1.94`,`102`,`46`,`ev'rything`
`And Your Bird Can Sing`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`TRAEFOC13E35A3F275`,`0.7258757927588678`,`132.574`,`0.03135417928060169`,`e`,`120.47628`,`0.23136124141677`,`major`,`4`,`-7.661`,`0.5650427928381284`,`12.26`,`26.42`,`0.94`,`0`,`5.66`,`0`,`3.77`,`106`,`50`,`possessions`
`Another Girl`,`1965`,`Help!`,`McCartney`,`McCartney`,``,``,`TRPHJZL13E3583034B`,`0.6798055446670527`,`88.691`,`0.033191828156443115`,`d`,`125.33506`,`0.31867829382060825`,`major`,`4`,`-8.094`,`0.5033469779972273`,`14.01`,`16.43`,`1.45`,`0.97`,`8.7`,`2.42`,`9.66`,`206`,`70`,`somebody`
